,Unnamed: 0,experiment,item_id,condition,sentence,expected,prediction,error,model,e_size
26,26,bock_cutting_1992_exp1,2,prep_ps,the tire - eaters in the carnival sideshow,VBP,VBZ,True,0,1000
27,27,bock_cutting_1992_exp1,2,prep_pp,the tire - eaters in the carnival VBZ,VBP,VBZ,True,0,1000
28,28,bock_cutting_1992_exp1,2,rel_ss,the tire - eater who VBD the sideshow,VBZ,VBZ,False,0,1000
29,29,bock_cutting_1992_exp1,2,rel_sp,the tire - eater who VBD the NNS,VBZ,VBZ,False,0,1000
30,30,bock_cutting_1992_exp1,2,rel_ps,the tire - eaters who VBD the sideshow,VBP,VBZ,True,0,1000
31,31,bock_cutting_1992_exp1,2,rel_pp,the tire - eaters who VBD the NNS,VBP,VBZ,True,0,1000
36,36,bock_cutting_1992_exp1,3,prep_ss,the bright light in doctor smith 's examination room,VBZ,VBZ,False,0,1000
37,37,bock_cutting_1992_exp1,3,prep_sp,the bright light in doctor smith 's examination rooms,VBZ,VBZ,False,0,1000
38,38,bock_cutting_1992_exp1,3,prep_ps,the bright lights in doctor smith 's examination room,VBP,VBP,False,0,1000
39,39,bock_cutting_1992_exp1,3,prep_pp,the bright lights in doctor smith 's examination rooms,VBP,VBP,False,0,1000
40,40,bock_cutting_1992_exp1,3,rel_ss,the bright light that lit the small examination room,VBZ,VBZ,False,0,1000
41,41,bock_cutting_1992_exp1,3,rel_sp,the bright light that lit the small examination rooms,VBZ,VBZ,False,0,1000
42,42,bock_cutting_1992_exp1,3,rel_ps,the bright lights that lit the small examination room,VBP,VBP,False,0,1000
43,43,bock_cutting_1992_exp1,3,rel_pp,the bright lights that lit the small examination rooms,VBP,VBP,False,0,1000
48,48,bock_cutting_1992_exp1,4,prep_ss,the security force at the giant manufacturing plant,VBZ,VBZ,False,0,1000
49,49,bock_cutting_1992_exp1,4,prep_sp,the security force at the giant manufacturing plants,VBZ,VBZ,False,0,1000
50,50,bock_cutting_1992_exp1,4,prep_ps,the security forces at the giant manufacturing plant,VBP,VBP,False,0,1000
51,51,bock_cutting_1992_exp1,4,prep_pp,the security forces at the giant manufacturing plants,VBP,VBP,False,0,1000
52,52,bock_cutting_1992_exp1,4,rel_ss,the security force that patrolled the manufacturing plant,VBZ,VBZ,False,0,1000
53,53,bock_cutting_1992_exp1,4,rel_sp,the security force that patrolled the manufacturing plants,VBZ,VBZ,False,0,1000
54,54,bock_cutting_1992_exp1,4,rel_ps,the security forces that patrolled the manufacturing plant,VBP,VBP,False,0,1000
55,55,bock_cutting_1992_exp1,4,rel_pp,the security forces that patrolled the manufacturing plants,VBP,VBP,False,0,1000
60,60,bock_cutting_1992_exp1,5,prep_ss,the confession of the famous television preacher,VBZ,VBZ,False,0,1000
61,61,bock_cutting_1992_exp1,5,prep_sp,the confession of the famous television preachers,VBZ,VBZ,False,0,1000
62,62,bock_cutting_1992_exp1,5,prep_ps,the confessions of the famous television preacher,VBP,VBP,False,0,1000
63,63,bock_cutting_1992_exp1,5,prep_pp,the confessions of the famous television preachers,VBP,VBP,False,0,1000
64,64,bock_cutting_1992_exp1,5,rel_ss,the confession that involved the television preacher,VBZ,VBZ,False,0,1000
65,65,bock_cutting_1992_exp1,5,rel_sp,the confession that involved the television preachers,VBZ,VBZ,False,0,1000
66,66,bock_cutting_1992_exp1,5,rel_ps,the confessions that involved the television preacher,VBP,VBP,False,0,1000
67,67,bock_cutting_1992_exp1,5,rel_pp,the confessions that involved the television preachers,VBP,VBP,False,0,1000
72,72,bock_cutting_1992_exp1,6,prep_ss,the charismatic leader of the left - wing dissident group,VBZ,VBZ,False,0,1000
73,73,bock_cutting_1992_exp1,6,prep_sp,the charismatic leader of the left - wing dissident groups,VBZ,VBZ,False,0,1000
74,74,bock_cutting_1992_exp1,6,prep_ps,the charismatic leaders of the left - wing dissident group,VBP,VBP,False,0,1000
75,75,bock_cutting_1992_exp1,6,prep_pp,the charismatic leaders of the left - wing dissident groups,VBP,VBP,False,0,1000
76,76,bock_cutting_1992_exp1,6,rel_ss,the charismatic leader who addressed the dissident group,VBZ,VBZ,False,0,1000
77,77,bock_cutting_1992_exp1,6,rel_sp,the charismatic leader who addressed the dissident groups,VBZ,VBZ,False,0,1000
78,78,bock_cutting_1992_exp1,6,rel_ps,the charismatic leaders who addressed the dissident group,VBP,VBP,False,0,1000
79,79,bock_cutting_1992_exp1,6,rel_pp,the charismatic leaders who addressed the dissident groups,VBP,VBP,False,0,1000
84,84,bock_cutting_1992_exp1,7,prep_ss,the advisor for the chemistry student,VBZ,VBZ,False,0,1000
85,85,bock_cutting_1992_exp1,7,prep_sp,the advisor for the chemistry students,VBZ,VBZ,False,0,1000
86,86,bock_cutting_1992_exp1,7,prep_ps,the advisors for the chemistry student,VBP,VBP,False,0,1000
87,87,bock_cutting_1992_exp1,7,prep_pp,the advisors for the chemistry students,VBP,VBP,False,0,1000
88,88,bock_cutting_1992_exp1,7,rel_ss,the advisor who directed the student,VBZ,VBZ,False,0,1000
89,89,bock_cutting_1992_exp1,7,rel_sp,the advisor who directed the students,VBZ,VBZ,False,0,1000
90,90,bock_cutting_1992_exp1,7,rel_ps,the advisors who directed the student,VBP,VBP,False,0,1000
91,91,bock_cutting_1992_exp1,7,rel_pp,the advisors who directed the students,VBP,VBP,False,0,1000
96,96,bock_cutting_1992_exp1,8,prep_ss,the superintendent of the technical school,VBZ,VBZ,False,0,1000
97,97,bock_cutting_1992_exp1,8,prep_sp,the superintendent of the technical schools,VBZ,VBP,True,0,1000
98,98,bock_cutting_1992_exp1,8,prep_ps,the superintendents of the technical school,VBP,VBZ,True,0,1000
99,99,bock_cutting_1992_exp1,8,prep_pp,the superintendents of the technical schools,VBP,VBP,False,0,1000
100,100,bock_cutting_1992_exp1,8,rel_ss,the superintendent who inspected the school,VBZ,VBZ,False,0,1000
101,101,bock_cutting_1992_exp1,8,rel_sp,the superintendent who inspected the schools,VBZ,VBP,True,0,1000
102,102,bock_cutting_1992_exp1,8,rel_ps,the superintendents who inspected the school,VBP,VBZ,True,0,1000
103,103,bock_cutting_1992_exp1,8,rel_pp,the superintendents who inspected the schools,VBP,VBP,False,0,1000
108,108,bock_cutting_1992_exp1,9,prep_ss,the memo from the junior executive,VBZ,VBZ,False,0,1000
109,109,bock_cutting_1992_exp1,9,prep_sp,the memo from the junior executives,VBZ,VBP,True,0,1000
110,110,bock_cutting_1992_exp1,9,prep_ps,the memos from the junior executive,VBP,VBZ,True,0,1000
111,111,bock_cutting_1992_exp1,9,prep_pp,the memos from the junior executives,VBP,VBP,False,0,1000
112,112,bock_cutting_1992_exp1,9,rel_ss,the memo that concerned the executive,VBZ,VBZ,False,0,1000
113,113,bock_cutting_1992_exp1,9,rel_sp,the memo that concerned the executives,VBZ,VBP,True,0,1000
114,114,bock_cutting_1992_exp1,9,rel_ps,the memos that concerned the executive,VBP,VBZ,True,0,1000
115,115,bock_cutting_1992_exp1,9,rel_pp,the memos that concerned the executives,VBP,VBP,False,0,1000
120,120,bock_cutting_1992_exp1,10,prep_ss,the neutral zone around the NNP solar system,VBZ,VBZ,False,0,1000
121,121,bock_cutting_1992_exp1,10,prep_sp,the neutral zone around the JJ solar systems,VBZ,VBZ,False,0,1000
122,122,bock_cutting_1992_exp1,10,prep_ps,the neutral zones around the NNP solar system,VBP,VBP,False,0,1000
123,123,bock_cutting_1992_exp1,10,prep_pp,the neutral zones around the JJ solar systems,VBP,VBP,False,0,1000
124,124,bock_cutting_1992_exp1,10,rel_ss,the neutral zone that split the NNP solar system,VBZ,VBZ,False,0,1000
125,125,bock_cutting_1992_exp1,10,rel_sp,the neutral zone that split the JJ solar systems,VBZ,VBZ,False,0,1000
126,126,bock_cutting_1992_exp1,10,rel_ps,the neutral zones that split the NNP solar system,VBP,VBP,False,0,1000
127,127,bock_cutting_1992_exp1,10,rel_pp,the neutral zones that split the JJ solar systems,VBP,VBP,False,0,1000
132,132,bock_cutting_1992_exp1,11,prep_ss,the traffic jam on the NNP street,VBZ,VBZ,False,0,1000
133,133,bock_cutting_1992_exp1,11,prep_sp,the traffic jam on the NNP streets,VBZ,VBZ,False,0,1000
134,134,bock_cutting_1992_exp1,11,prep_ps,the traffic jams on the NNP street,VBP,VBP,False,0,1000
135,135,bock_cutting_1992_exp1,11,prep_pp,the traffic jams on the NNP streets,VBP,VBP,False,0,1000
136,136,bock_cutting_1992_exp1,11,rel_ss,the traffic jam that obstructed the street,VBZ,VBZ,False,0,1000
137,137,bock_cutting_1992_exp1,11,rel_sp,the traffic jam that obstructed the streets,VBZ,VBZ,False,0,1000
138,138,bock_cutting_1992_exp1,11,rel_ps,the traffic jams that obstructed the street,VBP,VBP,False,0,1000
139,139,bock_cutting_1992_exp1,11,rel_pp,the traffic jams that obstructed the streets,VBP,VBP,False,0,1000
144,144,bock_cutting_1992_exp1,12,prep_ss,the office of the certified accountant,VBZ,VBZ,False,0,1000
145,145,bock_cutting_1992_exp1,12,prep_sp,the office of the certified accountants,VBZ,VBZ,False,0,1000
146,146,bock_cutting_1992_exp1,12,prep_ps,the offices of the certified accountant,VBP,VBP,False,0,1000
147,147,bock_cutting_1992_exp1,12,prep_pp,the offices of the certified accountants,VBP,VBP,False,0,1000
148,148,bock_cutting_1992_exp1,12,rel_ss,the office that belonged to the accountant,VBZ,VBZ,False,0,1000
149,149,bock_cutting_1992_exp1,12,rel_sp,the office that belonged to the accountants,VBZ,VBZ,False,0,1000
150,150,bock_cutting_1992_exp1,12,rel_ps,the offices that belonged to the accountant,VBP,VBP,False,0,1000
151,151,bock_cutting_1992_exp1,12,rel_pp,the offices that belonged to the accountants,VBP,VBP,False,0,1000
156,156,bock_cutting_1992_exp1,13,prep_ss,the rebel soldier in the furious battle,VBZ,VBZ,False,0,1000
157,157,bock_cutting_1992_exp1,13,prep_sp,the rebel soldier in the furious battles,VBZ,VBZ,False,0,1000
158,158,bock_cutting_1992_exp1,13,prep_ps,the rebel soldiers in the furious battle,VBP,VBP,False,0,1000
159,159,bock_cutting_1992_exp1,13,prep_pp,the rebel soldiers in the furious battles,VBP,VBP,False,0,1000
160,160,bock_cutting_1992_exp1,13,rel_ss,the rebel soldier who deserted the battle,VBZ,VBZ,False,0,1000
161,161,bock_cutting_1992_exp1,13,rel_sp,the rebel soldier who deserted the battles,VBZ,VBZ,False,0,1000
162,162,bock_cutting_1992_exp1,13,rel_ps,the rebel soldiers who deserted the battle,VBP,VBP,False,0,1000
163,163,bock_cutting_1992_exp1,13,rel_pp,the rebel soldiers who deserted the battles,VBP,VBP,False,0,1000
168,168,bock_cutting_1992_exp1,14,prep_ss,the actor in the blockbuster film,VBZ,VBZ,False,0,1000
169,169,bock_cutting_1992_exp1,14,prep_sp,the actor in the blockbuster films,VBZ,VBZ,False,0,1000
170,170,bock_cutting_1992_exp1,14,prep_ps,the actors in the blockbuster film,VBP,VBP,False,0,1000
171,171,bock_cutting_1992_exp1,14,prep_pp,the actors in the blockbuster films,VBP,VBP,False,0,1000
172,172,bock_cutting_1992_exp1,14,rel_ss,the actor who directed the film,VBZ,VBZ,False,0,1000
173,173,bock_cutting_1992_exp1,14,rel_sp,the actor who directed the films,VBZ,VBZ,False,0,1000
174,174,bock_cutting_1992_exp1,14,rel_ps,the actors who directed the film,VBP,VBP,False,0,1000
175,175,bock_cutting_1992_exp1,14,rel_pp,the actors who directed the films,VBP,VBP,False,0,1000
180,180,bock_cutting_1992_exp1,15,prep_ss,the consultant for the growing firm,VBZ,VBZ,False,0,1000
181,181,bock_cutting_1992_exp1,15,prep_sp,the consultant for the growing firms,VBZ,VBZ,False,0,1000
182,182,bock_cutting_1992_exp1,15,prep_ps,the consultants for the growing firm,VBP,VBP,False,0,1000
183,183,bock_cutting_1992_exp1,15,prep_pp,the consultants for the growing firms,VBP,VBP,False,0,1000
184,184,bock_cutting_1992_exp1,15,rel_ss,the consultant who advised the firm,VBZ,VBZ,False,0,1000
185,185,bock_cutting_1992_exp1,15,rel_sp,the consultant who advised the firms,VBZ,VBP,True,0,1000
186,186,bock_cutting_1992_exp1,15,rel_ps,the consultants who advised the firm,VBP,VBP,False,0,1000
187,187,bock_cutting_1992_exp1,15,rel_pp,the consultants who advised the firms,VBP,VBP,False,0,1000
192,192,bock_cutting_1992_exp1,16,prep_ss,the teaching assistant for the physics lab,VBZ,VBZ,False,0,1000
193,193,bock_cutting_1992_exp1,16,prep_sp,the teaching assistant for the physics labs,VBZ,VBZ,False,0,1000
194,194,bock_cutting_1992_exp1,16,prep_ps,the teaching assistants for the physics lab,VBP,VBP,False,0,1000
195,195,bock_cutting_1992_exp1,16,prep_pp,the teaching assistants for the physics labs,VBP,VBP,False,0,1000
196,196,bock_cutting_1992_exp1,16,rel_ss,the teaching assistant who prepared the lab,VBZ,VBZ,False,0,1000
197,197,bock_cutting_1992_exp1,16,rel_sp,the teaching assistant who prepared the labs,VBZ,VBZ,False,0,1000
198,198,bock_cutting_1992_exp1,16,rel_ps,the teaching assistants who prepared the lab,VBP,VBP,False,0,1000
199,199,bock_cutting_1992_exp1,16,rel_pp,the teaching assistants who prepared the labs,VBP,VBP,False,0,1000
204,204,bock_cutting_1992_exp1,17,prep_ss,the courier with the diplomat 's message,VBZ,VBZ,False,0,1000
205,205,bock_cutting_1992_exp1,17,prep_sp,the courier with the diplomat 's messages,VBZ,VBP,True,0,1000
206,206,bock_cutting_1992_exp1,17,prep_ps,the NNS with the diplomat 's message,VBP,VBZ,True,0,1000
207,207,bock_cutting_1992_exp1,17,prep_pp,the NNS with the diplomat 's messages,VBP,VBP,False,0,1000
208,208,bock_cutting_1992_exp1,17,rel_ss,the courier who delivered the message,VBZ,VBZ,False,0,1000
209,209,bock_cutting_1992_exp1,17,rel_sp,the courier who delivered the messages,VBZ,VBP,True,0,1000
210,210,bock_cutting_1992_exp1,17,rel_ps,the NNS who delivered the message,VBP,VBZ,True,0,1000
211,211,bock_cutting_1992_exp1,17,rel_pp,the NNS who delivered the messages,VBP,VBP,False,0,1000
216,216,bock_cutting_1992_exp1,18,prep_ss,the star of the broadway musical,VBZ,VBZ,False,0,1000
217,217,bock_cutting_1992_exp1,18,prep_sp,the star of the broadway musicals,VBZ,VBZ,False,0,1000
218,218,bock_cutting_1992_exp1,18,prep_ps,the stars of the broadway musical,VBP,VBP,False,0,1000
219,219,bock_cutting_1992_exp1,18,prep_pp,the stars of the broadway musicals,VBP,VBP,False,0,1000
220,220,bock_cutting_1992_exp1,18,rel_ss,the star who revived the musical,VBZ,VBZ,False,0,1000
221,221,bock_cutting_1992_exp1,18,rel_sp,the star who revived the musicals,VBZ,VBZ,False,0,1000
222,222,bock_cutting_1992_exp1,18,rel_ps,the stars who revived the musical,VBP,VBP,False,0,1000
223,223,bock_cutting_1992_exp1,18,rel_pp,the stars who revived the musicals,VBP,VBP,False,0,1000
228,228,bock_cutting_1992_exp1,19,prep_ss,the corporation with the banking monopoly,VBZ,VBZ,False,0,1000
229,229,bock_cutting_1992_exp1,19,prep_sp,the corporation with the banking monopolies,VBZ,VBZ,False,0,1000
230,230,bock_cutting_1992_exp1,19,prep_ps,the corporations with the banking monopoly,VBP,VBP,False,0,1000
231,231,bock_cutting_1992_exp1,19,prep_pp,the corporations with the banking monopolies,VBP,VBP,False,0,1000
232,232,bock_cutting_1992_exp1,19,rel_ss,the corporation that dissolved the monopoly,VBZ,VBZ,False,0,1000
233,233,bock_cutting_1992_exp1,19,rel_sp,the corporation that dissolved the monopolies,VBZ,VBZ,False,0,1000
234,234,bock_cutting_1992_exp1,19,rel_ps,the corporations that dissolved the monopoly,VBP,VBP,False,0,1000
235,235,bock_cutting_1992_exp1,19,rel_pp,the corporations that dissolved the monopolies,VBP,VBP,False,0,1000
240,240,bock_cutting_1992_exp1,20,prep_ss,the picture of the prominent politician,VBZ,VBZ,False,0,1000
241,241,bock_cutting_1992_exp1,20,prep_sp,the picture of the prominent politicians,VBZ,VBZ,False,0,1000
242,242,bock_cutting_1992_exp1,20,prep_ps,the pictures of the prominent politician,VBP,VBP,False,0,1000
243,243,bock_cutting_1992_exp1,20,prep_pp,the pictures of the prominent politicians,VBP,VBP,False,0,1000
244,244,bock_cutting_1992_exp1,20,rel_ss,the picture that embarrassed the politician,VBZ,VBZ,False,0,1000
245,245,bock_cutting_1992_exp1,20,rel_sp,the picture that embarrassed the politicians,VBZ,VBZ,False,0,1000
246,246,bock_cutting_1992_exp1,20,rel_ps,the pictures that embarrassed the politician,VBP,VBP,False,0,1000
247,247,bock_cutting_1992_exp1,20,rel_pp,the pictures that embarrassed the politicians,VBP,VBP,False,0,1000
252,252,bock_cutting_1992_exp1,21,prep_ss,the composer of the modern opera,VBZ,VBZ,False,0,1000
253,253,bock_cutting_1992_exp1,21,prep_sp,the composer of the modern operas,VBZ,VBZ,False,0,1000
254,254,bock_cutting_1992_exp1,21,prep_ps,the composers of the modern opera,VBP,VBP,False,0,1000
255,255,bock_cutting_1992_exp1,21,prep_pp,the composers of the modern operas,VBP,VBP,False,0,1000
256,256,bock_cutting_1992_exp1,21,rel_ss,the composer who rewrote the opera,VBZ,VBZ,False,0,1000
257,257,bock_cutting_1992_exp1,21,rel_sp,the composer who rewrote the operas,VBZ,VBZ,False,0,1000
258,258,bock_cutting_1992_exp1,21,rel_ps,the composers who rewrote the opera,VBP,VBP,False,0,1000
259,259,bock_cutting_1992_exp1,21,rel_pp,the composers who rewrote the operas,VBP,VBP,False,0,1000
264,264,bock_cutting_1992_exp1,22,prep_ss,the teacher with the special education certificate,VBZ,VBZ,False,0,1000
265,265,bock_cutting_1992_exp1,22,prep_sp,the teacher with the special education certificates,VBZ,VBZ,False,0,1000
266,266,bock_cutting_1992_exp1,22,prep_ps,the teachers with the special education certificate,VBP,VBP,False,0,1000
267,267,bock_cutting_1992_exp1,22,prep_pp,the teachers with the special education certificates,VBP,VBP,False,0,1000
268,268,bock_cutting_1992_exp1,22,rel_ss,the teacher who received the education certificate,VBZ,VBZ,False,0,1000
269,269,bock_cutting_1992_exp1,22,rel_sp,the teacher who received the education certificates,VBZ,VBZ,False,0,1000
270,270,bock_cutting_1992_exp1,22,rel_ps,the teachers who received the education certificate,VBP,VBP,False,0,1000
271,271,bock_cutting_1992_exp1,22,rel_pp,the teachers who received the education certificates,VBP,VBP,False,0,1000
276,276,bock_cutting_1992_exp1,23,prep_ss,the speaker at the union meeting,VBZ,VBZ,False,0,1000
277,277,bock_cutting_1992_exp1,23,prep_sp,the speaker at the union meetings,VBZ,VBZ,False,0,1000
278,278,bock_cutting_1992_exp1,23,prep_ps,the speakers at the union meeting,VBP,VBP,False,0,1000
279,279,bock_cutting_1992_exp1,23,prep_pp,the speakers at the union meetings,VBP,VBP,False,0,1000
280,280,bock_cutting_1992_exp1,23,rel_ss,the speaker who addressed the meeting,VBZ,VBZ,False,0,1000
281,281,bock_cutting_1992_exp1,23,rel_sp,the speaker who addressed the meetings,VBZ,VBZ,False,0,1000
282,282,bock_cutting_1992_exp1,23,rel_ps,the speakers who addressed the meeting,VBP,VBP,False,0,1000
283,283,bock_cutting_1992_exp1,23,rel_pp,the speakers who addressed the meetings,VBP,VBP,False,0,1000
288,288,bock_cutting_1992_exp1,24,prep_ss,the director of the forthcoming motion picture,VBZ,VBZ,False,0,1000
289,289,bock_cutting_1992_exp1,24,prep_sp,the director of the forthcoming motion pictures,VBZ,VBZ,False,0,1000
290,290,bock_cutting_1992_exp1,24,prep_ps,the directors of the forthcoming motion picture,VBP,VBP,False,0,1000
291,291,bock_cutting_1992_exp1,24,prep_pp,the directors of the forthcoming motion pictures,VBP,VBP,False,0,1000
292,292,bock_cutting_1992_exp1,24,rel_ss,the director who created the motion picture,VBZ,VBZ,False,0,1000
293,293,bock_cutting_1992_exp1,24,rel_sp,the director who created the motion pictures,VBZ,VBZ,False,0,1000
294,294,bock_cutting_1992_exp1,24,rel_ps,the directors who created the motion picture,VBP,VBP,False,0,1000
295,295,bock_cutting_1992_exp1,24,rel_pp,the directors who created the motion pictures,VBP,VBP,False,0,1000
300,300,bock_cutting_1992_exp1,25,prep_ss,the applicant for the corporate scholarship,VBZ,VBZ,False,0,1000
301,301,bock_cutting_1992_exp1,25,prep_sp,the applicant for the corporate scholarships,VBZ,VBZ,False,0,1000
302,302,bock_cutting_1992_exp1,25,prep_ps,the applicants for the corporate scholarship,VBP,VBP,False,0,1000
303,303,bock_cutting_1992_exp1,25,prep_pp,the applicants for the corporate scholarships,VBP,VBP,False,0,1000
304,304,bock_cutting_1992_exp1,25,rel_ss,the applicant who accepted the scholarship,VBZ,VBZ,False,0,1000
305,305,bock_cutting_1992_exp1,25,rel_sp,the applicant who accepted the scholarships,VBZ,VBZ,False,0,1000
306,306,bock_cutting_1992_exp1,25,rel_ps,the applicants who accepted the scholarship,VBP,VBP,False,0,1000
307,307,bock_cutting_1992_exp1,25,rel_pp,the applicants who accepted the scholarships,VBP,VBP,False,0,1000
312,312,bock_cutting_1992_exp1,26,prep_ss,the editor of the history book,VBZ,VBZ,False,0,1000
313,313,bock_cutting_1992_exp1,26,prep_sp,the editor of the history books,VBZ,VBZ,False,0,1000
314,314,bock_cutting_1992_exp1,26,prep_ps,the editors of the history book,VBP,VBP,False,0,1000
315,315,bock_cutting_1992_exp1,26,prep_pp,the editors of the history books,VBP,VBP,False,0,1000
316,316,bock_cutting_1992_exp1,26,rel_ss,the editor who rejected the book,VBZ,VBZ,False,0,1000
317,317,bock_cutting_1992_exp1,26,rel_sp,the editor who rejected the books,VBZ,VBZ,False,0,1000
318,318,bock_cutting_1992_exp1,26,rel_ps,the editors who rejected the book,VBP,VBP,False,0,1000
319,319,bock_cutting_1992_exp1,26,rel_pp,the editors who rejected the books,VBP,VBP,False,0,1000
324,324,bock_cutting_1992_exp1,27,prep_ss,the laboratory with the analog computer,VBZ,VBZ,False,0,1000
325,325,bock_cutting_1992_exp1,27,prep_sp,the laboratory with the analog computers,VBZ,VBZ,False,0,1000
326,326,bock_cutting_1992_exp1,27,prep_ps,the laboratories with the analog computer,VBP,VBP,False,0,1000
327,327,bock_cutting_1992_exp1,27,prep_pp,the laboratories with the analog computers,VBP,VBP,False,0,1000
328,328,bock_cutting_1992_exp1,27,rel_ss,the laboratory that invented the computer,VBZ,VBZ,False,0,1000
329,329,bock_cutting_1992_exp1,27,rel_sp,the laboratory that invented the computers,VBZ,VBZ,False,0,1000
330,330,bock_cutting_1992_exp1,27,rel_ps,the laboratories that invented the computer,VBP,VBP,False,0,1000
331,331,bock_cutting_1992_exp1,27,rel_pp,the laboratories that invented the computers,VBP,VBP,False,0,1000
336,336,bock_cutting_1992_exp1,28,prep_ss,the demonstrator at the political rally,VBZ,VBZ,False,0,1000
337,337,bock_cutting_1992_exp1,28,prep_sp,the demonstrator at the political rallies,VBZ,VBZ,False,0,1000
338,338,bock_cutting_1992_exp1,28,prep_ps,the demonstrators at the political rally,VBP,VBP,False,0,1000
339,339,bock_cutting_1992_exp1,28,prep_pp,the demonstrators at the political rallies,VBP,VBP,False,0,1000
340,340,bock_cutting_1992_exp1,28,rel_ss,the demonstrator that interrupted the rally,VBZ,VBZ,False,0,1000
341,341,bock_cutting_1992_exp1,28,rel_sp,the demonstrator that interrupted the rallies,VBZ,VBZ,False,0,1000
342,342,bock_cutting_1992_exp1,28,rel_ps,the demonstrators that interrupted the rally,VBP,VBP,False,0,1000
343,343,bock_cutting_1992_exp1,28,rel_pp,the demonstrators that interrupted the rallies,VBP,VBP,False,0,1000
348,348,bock_cutting_1992_exp1,29,prep_ss,the student in the spanish class,VBZ,VBZ,False,0,1000
349,349,bock_cutting_1992_exp1,29,prep_sp,the student in the spanish classes,VBZ,VBZ,False,0,1000
350,350,bock_cutting_1992_exp1,29,prep_ps,the students in the spanish class,VBP,VBP,False,0,1000
351,351,bock_cutting_1992_exp1,29,prep_pp,the students in the spanish classes,VBP,VBP,False,0,1000
352,352,bock_cutting_1992_exp1,29,rel_ss,the student who had failed the class,VBZ,VBZ,False,0,1000
353,353,bock_cutting_1992_exp1,29,rel_sp,the student who had failed the classes,VBZ,VBP,True,0,1000
354,354,bock_cutting_1992_exp1,29,rel_ps,the students who had failed the class,VBP,VBP,False,0,1000
355,355,bock_cutting_1992_exp1,29,rel_pp,the students who had failed the classes,VBP,VBP,False,0,1000
360,360,bock_cutting_1992_exp1,30,prep_ss,the peace corps volunteer in the african village,VBZ,VBZ,False,0,1000
361,361,bock_cutting_1992_exp1,30,prep_sp,the peace corps volunteer in the african villages,VBZ,VBZ,False,0,1000
362,362,bock_cutting_1992_exp1,30,prep_ps,the peace corps volunteers in the african village,VBP,VBP,False,0,1000
363,363,bock_cutting_1992_exp1,30,prep_pp,the peace corps volunteers in the african villages,VBP,VBP,False,0,1000
364,364,bock_cutting_1992_exp1,30,rel_ss,the peace corps volunteer who assisted the village,VBZ,VBZ,False,0,1000
365,365,bock_cutting_1992_exp1,30,rel_sp,the peace corps volunteer who assisted the villages,VBZ,VBZ,False,0,1000
366,366,bock_cutting_1992_exp1,30,rel_ps,the peace corps volunteers who assisted the village,VBP,VBP,False,0,1000
367,367,bock_cutting_1992_exp1,30,rel_pp,the peace corps volunteers who assisted the villages,VBP,VBP,False,0,1000
372,372,bock_cutting_1992_exp1,31,prep_ss,the ruler of the roman city - state,VBZ,VBZ,False,0,1000
373,373,bock_cutting_1992_exp1,31,prep_sp,the ruler of the roman city - states,VBZ,VBZ,False,0,1000
374,374,bock_cutting_1992_exp1,31,prep_ps,the rulers of the roman city - state,VBP,VBZ,True,0,1000
375,375,bock_cutting_1992_exp1,31,prep_pp,the rulers of the roman city - states,VBP,VBP,False,0,1000
