ID,List,Item,Condition,Matrix_num,Match,phrase_type,meanRTperword,Preamble,Correct,RT,Exp
59f87721af1002000176a8b5,0,8,ss_rel,s,1,rel,529.3333333333334,The advisor who directed the student,1,428,EXP2
59f87721af1002000176a8b5,0,65,filler,-,-,-,764.0,The chain,1,336,EXP2
59f87721af1002000176a8b5,0,6,ps_rel,p,0,rel,455.42857142857144,The confessions that involved the television preacher,1,784,EXP2
59f87721af1002000176a8b5,0,61,filler,-,-,-,406.6666666666667,A tight glove,1,784,EXP2
59f87721af1002000176a8b5,0,39,filler,-,-,-,426.0,Every child,1,572,EXP2
59f87721af1002000176a8b5,0,4,ss_prep,s,1,prep,406.5,The bright light in Doctor Smith's examination room,1,320,EXP2
59f87721af1002000176a8b5,0,79,filler,-,-,-,466.6666666666667,A closed drawer,1,336,EXP2
59f87721af1002000176a8b5,0,28,ss_prep,s,1,prep,337.3333333333333,The laboratory with the analog computer,1,480,EXP2
59f87721af1002000176a8b5,0,43,filler,-,-,-,545.3333333333334,All the cats,1,296,EXP2
59f87721af1002000176a8b5,0,70,filler,-,-,-,652.0,This shoe,1,304,EXP2
59f87721af1002000176a8b5,0,16,ss_rel,s,1,rel,360.0,The consultant who advised the firm,1,536,EXP2
59f87721af1002000176a8b5,0,64,filler,-,-,-,332.3333333333333,The rusty blades,1,444,EXP2
59f87721af1002000176a8b5,0,14,ps_rel,p,0,rel,302.85714285714283,The rebel soldiers who deserted the battle,1,876,EXP2
59f87721af1002000176a8b5,0,53,filler,-,-,-,388.0,The prickly thorns,1,864,EXP2
59f87721af1002000176a8b5,0,1,pp_prep,p,1,prep,307.125,The demo tapes from the popular rock singers,1,640,EXP2
59f87721af1002000176a8b5,0,42,filler,-,-,-,420.0,The farmers,1,496,EXP2
59f87721af1002000176a8b5,0,76,filler,-,-,-,337.3333333333333,The gooey filling,1,844,EXP2
59f87721af1002000176a8b5,0,31,sp_rel,s,0,rel,351.75,The Peace Corps volunteer who assisted the villages,1,808,EXP2
59f87721af1002000176a8b5,0,66,filler,-,-,-,537.0,The jackets,1,681,EXP2
59f87721af1002000176a8b5,0,26,ps_prep,p,0,prep,312.6666666666667,The applicants for the corporate scholarship,1,496,EXP2
59f87721af1002000176a8b5,0,36,filler,-,-,-,573.3333333333334,The slimy frog,1,364,EXP2
59f87721af1002000176a8b5,0,35,filler,-,-,-,605.0,The fire,1,354,EXP2
59f87721af1002000176a8b5,0,13,pp_rel,p,1,rel,283.42857142857144,The offices that belonged to the accountants,1,500,EXP2
59f87721af1002000176a8b5,0,57,filler,-,-,-,405.6666666666667,The wobbly leg,0,1504,EXP2
59f87721af1002000176a8b5,0,27,sp_prep,s,0,prep,296.6666666666667,The editor of the history books,1,600,EXP2
59f87721af1002000176a8b5,0,87,filler,-,-,-,398.0,Each fork,1,472,EXP2
59f87721af1002000176a8b5,0,63,filler,-,-,-,289.6666666666667,The cracked knob,1,627,EXP2
59f87721af1002000176a8b5,0,24,ss_rel,s,1,rel,306.6666666666667,The speaker who addressed the meeting,1,520,EXP2
59f87721af1002000176a8b5,0,34,filler,-,-,-,404.0,The dog,1,417,EXP2
59f87721af1002000176a8b5,0,17,pp_prep,p,1,prep,334.2857142857143,The teaching assistants for the physics labs,1,372,EXP2
59f87721af1002000176a8b5,0,48,filler,-,-,-,390.6666666666667,Some terminal diseases,1,652,EXP2
59f87721af1002000176a8b5,0,12,ss_prep,s,1,prep,263.42857142857144,The traffic jam on the Okemos street,1,588,EXP2
59f87721af1002000176a8b5,0,69,filler,-,-,-,388.3333333333333,The tight fingers,1,808,EXP2
59f87721af1002000176a8b5,0,50,filler,-,-,-,418.0,The President,1,552,EXP2
59f87721af1002000176a8b5,0,29,pp_rel,p,1,rel,328.6666666666667,The demonstrators that interrupted the rallies,1,832,EXP2
59f87721af1002000176a8b5,0,51,filler,-,-,-,245.33333333333334,The Prime Minister,1,780,EXP2
59f87721af1002000176a8b5,0,15,sp_rel,s,0,rel,233.5,The actor who directed the films,1,752,EXP2
59f87721af1002000176a8b5,0,75,filler,-,-,-,606.0,A train,1,288,EXP2
59f87721af1002000176a8b5,0,77,filler,-,-,-,498.0,An oven,1,512,EXP2
59f87721af1002000176a8b5,0,18,ps_prep,p,0,prep,256.6666666666667,The couriers with the diplomat's message,0,744,EXP2
59f87721af1002000176a8b5,0,58,filler,-,-,-,384.0,Some iron railings,1,436,EXP2
59f87721af1002000176a8b5,0,30,ps_rel,p,0,rel,364.0,The students who had failed the class,1,704,EXP2
59f87721af1002000176a8b5,0,60,filler,-,-,-,394.0,A purse,1,484,EXP2
59f87721af1002000176a8b5,0,56,filler,-,-,-,326.0,The laptop,1,580,EXP2
59f87721af1002000176a8b5,0,11,sp_prep,s,0,prep,272.0,The neutral zone around the Arcturian solar systems,1,355,EXP2
59f87721af1002000176a8b5,0,78,filler,-,-,-,388.0,Some loud speakers,1,408,EXP2
59f87721af1002000176a8b5,0,2,ps_prep,p,0,prep,294.85714285714283,The pamphlets from the British government agency,0,520,EXP2
59f87721af1002000176a8b5,0,85,filler,-,-,-,942.0,This chain,1,276,EXP2
59f87721af1002000176a8b5,0,32,ss_rel,s,1,rel,328.6666666666667,The ruler who enslaved the city-state,1,316,EXP2
59f87721af1002000176a8b5,0,33,filler,-,-,-,486.6666666666667,The unhappy man,1,436,EXP2
59f87721af1002000176a8b5,0,55,filler,-,-,-,438.0,Some chairs,1,372,EXP2
59f87721af1002000176a8b5,0,25,pp_prep,p,1,prep,371.42857142857144,The directors of the forthcoming motion pictures,1,805,EXP2
59f87721af1002000176a8b5,0,41,filler,-,-,-,397.3333333333333,A helpless lamb,1,1024,EXP2
59f87721af1002000176a8b5,0,72,filler,-,-,-,500.5,A staircase,1,544,EXP2
59f87721af1002000176a8b5,0,22,ps_rel,p,0,rel,472.6666666666667,The composers who rewrote the opera,0,688,EXP2
59f87721af1002000176a8b5,0,88,filler,-,-,-,484.0,Those shoes,1,460,EXP2
59f87721af1002000176a8b5,0,19,sp_prep,s,0,prep,278.6666666666667,The star of the Broadway musicals,1,700,EXP2
59f87721af1002000176a8b5,0,86,filler,-,-,-,405.6666666666667,That dull razor,1,1168,EXP2
59f87721af1002000176a8b5,0,46,filler,-,-,-,402.5,The policemen,0,736,EXP2
59f87721af1002000176a8b5,0,21,pp_rel,p,1,rel,334.0,The pictures that embarrassed the politicians,1,452,EXP2
59f87721af1002000176a8b5,0,37,filler,-,-,-,345.3333333333333,These hungry boys,1,496,EXP2
59f87721af1002000176a8b5,0,71,filler,-,-,-,514.0,Those plants,1,796,EXP2
59f87721af1002000176a8b5,0,20,ss_prep,s,1,prep,328.0,The corporation with the banking monopoly,1,686,EXP2
59f87721af1002000176a8b5,0,59,filler,-,-,-,438.6666666666667,These crooked prongs,1,652,EXP2
59f87721af1002000176a8b5,0,40,filler,-,-,-,584.0,Those unlucky firemen,0,340,EXP2
59f87721af1002000176a8b5,0,23,sp_rel,s,0,rel,274.2857142857143,The teacher who received the education certificates,1,604,EXP2
59f87721af1002000176a8b5,0,52,filler,-,-,-,407.0,The lazy student,1,480,EXP2
59f87721af1002000176a8b5,0,80,filler,-,-,-,484.0,The roses,1,436,EXP2
59da1d19e2762800015eb7a2,0,67,filler,-,-,-,924.0,This short skirt,1,958,EXP2
59da1d19e2762800015eb7a2,0,82,filler,-,-,-,833.5,The icy wings,1,1176,EXP2
59da1d19e2762800015eb7a2,0,38,filler,-,-,-,937.0,Some roosters,1,1285,EXP2
59da1d19e2762800015eb7a2,0,45,filler,-,-,-,893.0,A hunter,1,1069,EXP2
59da1d19e2762800015eb7a2,0,84,filler,-,-,-,836.0,A faulty zipper,1,1055,EXP2
59da1d19e2762800015eb7a2,0,49,filler,-,-,-,1375.0,A quiet librarian,1,665,EXP2
59da1d19e2762800015eb7a2,0,62,filler,-,-,-,944.0,The newspaper,1,633,EXP2
59da1d19e2762800015eb7a2,0,81,filler,-,-,-,864.0,These radios,1,753,EXP2
59da1d19e2762800015eb7a2,0,3,sp_prep,s,0,prep,1243.8,The tire-eater in the carnival sideshows,1,803,EXP2
59da1d19e2762800015eb7a2,0,44,filler,-,-,-,714.0,This mad scientist,1,1069,EXP2
59da1d19e2762800015eb7a2,0,9,pp_prep,p,1,prep,893.6,The superintendents of the technical schools,1,751,EXP2
59da1d19e2762800015eb7a2,0,83,filler,-,-,-,858.0,The kitchen sink,1,1047,EXP2
59da1d19e2762800015eb7a2,0,68,filler,-,-,-,769.0,These churches,1,1171,EXP2
59da1d19e2762800015eb7a2,0,5,pp_rel,p,1,rel,826.4285714285714,The security forces that patrolled the manufacturing plants,0,1501,EXP2
59da1d19e2762800015eb7a2,0,54,filler,-,-,-,789.0,The bike,1,1009,EXP2
59da1d19e2762800015eb7a2,0,7,sp_rel,s,0,rel,747.8571428571429,The charismatic leader who addressed the dissident groups,1,1361,EXP2
59da1d19e2762800015eb7a2,0,74,filler,-,-,-,760.0,The coat,1,668,EXP2
59da1d19e2762800015eb7a2,0,10,ps_prep,p,0,prep,720.6,The memos from the junior executive,1,1097,EXP2
59da1d19e2762800015eb7a2,0,47,filler,-,-,-,705.5,The unavoidable disaster,1,593,EXP2
59da1d19e2762800015eb7a2,0,73,filler,-,-,-,802.5,The broken printers,1,1013,EXP2
59da1d19e2762800015eb7a2,0,8,ss_rel,s,1,rel,742.4,The advisor who directed the student,1,650,EXP2
59da1d19e2762800015eb7a2,0,65,filler,-,-,-,825.0,The chain,1,671,EXP2
59da1d19e2762800015eb7a2,0,6,ps_rel,p,0,rel,862.8333333333334,The confessions that involved the television preacher,0,1501,EXP2
59da1d19e2762800015eb7a2,0,61,filler,-,-,-,1635.5,A tight glove,1,1024,EXP2
59da1d19e2762800015eb7a2,0,39,filler,-,-,-,797.0,Every child,1,824,EXP2
59da1d19e2762800015eb7a2,0,4,ss_prep,s,1,prep,1088.7142857142858,The bright light in Doctor Smith's examination room,1,645,EXP2
59da1d19e2762800015eb7a2,0,79,filler,-,-,-,684.0,A closed drawer,1,1063,EXP2
59da1d19e2762800015eb7a2,0,28,ss_prep,s,1,prep,851.0,The laboratory with the analog computer,1,620,EXP2
59da1d19e2762800015eb7a2,0,43,filler,-,-,-,806.5,All the cats,1,696,EXP2
59da1d19e2762800015eb7a2,0,70,filler,-,-,-,408.0,This shoe,1,992,EXP2
59da1d19e2762800015eb7a2,0,16,ss_rel,s,1,rel,998.0,The consultant who advised the firm,1,1057,EXP2
59da1d19e2762800015eb7a2,0,64,filler,-,-,-,704.0,The rusty blades,1,973,EXP2
59da1d19e2762800015eb7a2,0,14,ps_rel,p,0,rel,836.1666666666666,The rebel soldiers who deserted the battle,1,1136,EXP2
59da1d19e2762800015eb7a2,0,53,filler,-,-,-,825.5,The prickly thorns,1,1380,EXP2
59da1d19e2762800015eb7a2,0,1,pp_prep,p,1,prep,604.7142857142857,The demo tapes from the popular rock singers,1,587,EXP2
59da1d19e2762800015eb7a2,0,42,filler,-,-,-,910.0,The farmers,1,934,EXP2
59da1d19e2762800015eb7a2,0,76,filler,-,-,-,746.5,The gooey filling,1,731,EXP2
59da1d19e2762800015eb7a2,0,31,sp_rel,s,0,rel,807.7142857142857,The Peace Corps volunteer who assisted the villages,1,1027,EXP2
59da1d19e2762800015eb7a2,0,66,filler,-,-,-,621.0,The jackets,1,899,EXP2
59da1d19e2762800015eb7a2,0,26,ps_prep,p,0,prep,807.4,The applicants for the corporate scholarship,1,1160,EXP2
59da1d19e2762800015eb7a2,0,36,filler,-,-,-,843.5,The slimy frog,1,1006,EXP2
59da1d19e2762800015eb7a2,0,35,filler,-,-,-,773.0,The fire,1,936,EXP2
59da1d19e2762800015eb7a2,0,13,pp_rel,p,1,rel,761.5,The offices that belonged to the accountants,1,949,EXP2
59da1d19e2762800015eb7a2,0,57,filler,-,-,-,893.5,The wobbly leg,1,1019,EXP2
59da1d19e2762800015eb7a2,0,27,sp_prep,s,0,prep,582.8,The editor of the history books,1,930,EXP2
59da1d19e2762800015eb7a2,0,87,filler,-,-,-,816.0,Each fork,1,967,EXP2
59da1d19e2762800015eb7a2,0,63,filler,-,-,-,608.5,The cracked knob,1,945,EXP2
59da1d19e2762800015eb7a2,0,24,ss_rel,s,1,rel,613.8,The speaker who addressed the meeting,1,942,EXP2
59da1d19e2762800015eb7a2,0,34,filler,-,-,-,338.0,The dog,1,980,EXP2
59da1d19e2762800015eb7a2,0,17,pp_prep,p,1,prep,475.5,The teaching assistants for the physics labs,1,1433,EXP2
59da1d19e2762800015eb7a2,0,48,filler,-,-,-,417.5,Some terminal diseases,1,719,EXP2
59da1d19e2762800015eb7a2,0,12,ss_prep,s,1,prep,690.6666666666666,The traffic jam on the Okemos street,1,664,EXP2
59da1d19e2762800015eb7a2,0,69,filler,-,-,-,414.5,The tight fingers,1,644,EXP2
59da1d19e2762800015eb7a2,0,50,filler,-,-,-,403.0,The President,1,661,EXP2
59da1d19e2762800015eb7a2,0,29,pp_rel,p,1,rel,620.8,The demonstrators that interrupted the rallies,1,1027,EXP2
59da1d19e2762800015eb7a2,0,51,filler,-,-,-,594.0,The Prime Minister,1,856,EXP2
59da1d19e2762800015eb7a2,0,15,sp_rel,s,0,rel,549.2,The actor who directed the films,1,708,EXP2
59da1d19e2762800015eb7a2,0,75,filler,-,-,-,778.0,A train,1,682,EXP2
59da1d19e2762800015eb7a2,0,77,filler,-,-,-,857.0,An oven,1,989,EXP2
59da1d19e2762800015eb7a2,0,18,ps_prep,p,0,prep,840.8,The couriers with the diplomat's message,1,1169,EXP2
59da1d19e2762800015eb7a2,0,58,filler,-,-,-,563.0,Some iron railings,1,673,EXP2
59da1d19e2762800015eb7a2,0,30,ps_rel,p,0,rel,888.3333333333334,The students who had failed the class,1,652,EXP2
59da1d19e2762800015eb7a2,0,60,filler,-,-,-,748.0,A purse,1,678,EXP2
59da1d19e2762800015eb7a2,0,56,filler,-,-,-,816.0,The laptop,1,608,EXP2
59da1d19e2762800015eb7a2,0,11,sp_prep,s,0,prep,697.8571428571429,The neutral zone around the Arcturian solar systems,1,1021,EXP2
59da1d19e2762800015eb7a2,0,78,filler,-,-,-,491.0,Some loud speakers,1,947,EXP2
59da1d19e2762800015eb7a2,0,2,ps_prep,p,0,prep,578.0,The pamphlets from the British government agency,0,1501,EXP2
59da1d19e2762800015eb7a2,0,85,filler,-,-,-,885.0,This chain,1,1077,EXP2
59da1d19e2762800015eb7a2,0,32,ss_rel,s,1,rel,734.2,The ruler who enslaved the city-state,1,930,EXP2
59da1d19e2762800015eb7a2,0,33,filler,-,-,-,697.5,The unhappy man,1,1059,EXP2
59da1d19e2762800015eb7a2,0,55,filler,-,-,-,766.0,Some chairs,1,950,EXP2
59da1d19e2762800015eb7a2,0,25,pp_prep,p,1,prep,521.5,The directors of the forthcoming motion pictures,1,864,EXP2
59da1d19e2762800015eb7a2,0,41,filler,-,-,-,559.0,A helpless lamb,1,1264,EXP2
59da1d19e2762800015eb7a2,0,72,filler,-,-,-,813.0,A staircase,1,1041,EXP2
59da1d19e2762800015eb7a2,0,22,ps_rel,p,0,rel,520.0,The composers who rewrote the opera,1,657,EXP2
59da1d19e2762800015eb7a2,0,88,filler,-,-,-,547.0,Those shoes,1,948,EXP2
59da1d19e2762800015eb7a2,0,19,sp_prep,s,0,prep,530.8,The star of the Broadway musicals,1,1156,EXP2
59da1d19e2762800015eb7a2,0,86,filler,-,-,-,592.5,That dull razor,1,1061,EXP2
59da1d19e2762800015eb7a2,0,46,filler,-,-,-,834.0,The policemen,0,1168,EXP2
59da1d19e2762800015eb7a2,0,21,pp_rel,p,1,rel,587.2,The pictures that embarrassed the politicians,1,662,EXP2
59da1d19e2762800015eb7a2,0,37,filler,-,-,-,731.0,These hungry boys,1,1180,EXP2
59da1d19e2762800015eb7a2,0,71,filler,-,-,-,439.0,Those plants,1,697,EXP2
59da1d19e2762800015eb7a2,0,20,ss_prep,s,1,prep,496.8,The corporation with the banking monopoly,1,1410,EXP2
59da1d19e2762800015eb7a2,0,59,filler,-,-,-,435.5,These crooked prongs,1,1013,EXP2
59da1d19e2762800015eb7a2,0,40,filler,-,-,-,497.0,Those unlucky firemen,0,587,EXP2
59da1d19e2762800015eb7a2,0,23,sp_rel,s,0,rel,530.0,The teacher who received the education certificates,0,1309,EXP2
59da1d19e2762800015eb7a2,0,52,filler,-,-,-,737.0,The lazy student,1,949,EXP2
59da1d19e2762800015eb7a2,0,80,filler,-,-,-,814.0,The roses,1,607,EXP2
588938e3b08cc30001b77771,0,67,filler,-,-,-,625.3333333333334,This short skirt,1,866,EXP2
588938e3b08cc30001b77771,0,82,filler,-,-,-,650.6666666666666,The icy wings,1,643,EXP2
588938e3b08cc30001b77771,0,38,filler,-,-,-,690.5,Some roosters,1,582,EXP2
588938e3b08cc30001b77771,0,45,filler,-,-,-,572.5,A hunter,1,807,EXP2
588938e3b08cc30001b77771,0,84,filler,-,-,-,554.6666666666666,A faulty zipper,1,744,EXP2
588938e3b08cc30001b77771,0,49,filler,-,-,-,695.6666666666666,A quiet librarian,1,767,EXP2
588938e3b08cc30001b77771,0,62,filler,-,-,-,529.5,The newspaper,1,854,EXP2
588938e3b08cc30001b77771,0,81,filler,-,-,-,578.0,These radios,1,593,EXP2
588938e3b08cc30001b77771,0,3,sp_prep,s,0,prep,664.3333333333334,The tire-eater in the carnival sideshows,1,940,EXP2
588938e3b08cc30001b77771,0,44,filler,-,-,-,588.3333333333334,This mad scientist,1,993,EXP2
588938e3b08cc30001b77771,0,9,pp_prep,p,1,prep,576.6666666666666,The superintendents of the technical schools,1,559,EXP2
588938e3b08cc30001b77771,0,83,filler,-,-,-,688.0,The kitchen sink,1,1387,EXP2
588938e3b08cc30001b77771,0,68,filler,-,-,-,614.0,These churches,1,919,EXP2
588938e3b08cc30001b77771,0,5,pp_rel,p,1,rel,665.875,The security forces that patrolled the manufacturing plants,1,611,EXP2
588938e3b08cc30001b77771,0,54,filler,-,-,-,510.5,The bike,1,627,EXP2
588938e3b08cc30001b77771,0,7,sp_rel,s,0,rel,571.625,The charismatic leader who addressed the dissident groups,1,752,EXP2
588938e3b08cc30001b77771,0,74,filler,-,-,-,682.0,The coat,1,684,EXP2
588938e3b08cc30001b77771,0,10,ps_prep,p,0,prep,768.6666666666666,The memos from the junior executive,1,729,EXP2
588938e3b08cc30001b77771,0,47,filler,-,-,-,549.3333333333334,The unavoidable disaster,1,747,EXP2
588938e3b08cc30001b77771,0,73,filler,-,-,-,488.0,The broken printers,1,542,EXP2
588938e3b08cc30001b77771,0,8,ss_rel,s,1,rel,536.1666666666666,The advisor who directed the student,0,1507,EXP2
588938e3b08cc30001b77771,0,65,filler,-,-,-,494.0,The chain,1,802,EXP2
588938e3b08cc30001b77771,0,6,ps_rel,p,0,rel,536.0,The confessions that involved the television preacher,1,732,EXP2
588938e3b08cc30001b77771,0,61,filler,-,-,-,684.0,A tight glove,1,584,EXP2
588938e3b08cc30001b77771,0,39,filler,-,-,-,652.0,Every child,1,601,EXP2
588938e3b08cc30001b77771,0,4,ss_prep,s,1,prep,654.375,The bright light in Doctor Smith's examination room,1,606,EXP2
588938e3b08cc30001b77771,0,79,filler,-,-,-,588.0,A closed drawer,1,814,EXP2
588938e3b08cc30001b77771,0,28,ss_prep,s,1,prep,578.6666666666666,The laboratory with the analog computer,1,794,EXP2
588938e3b08cc30001b77771,0,43,filler,-,-,-,622.3333333333334,All the cats,1,904,EXP2
588938e3b08cc30001b77771,0,70,filler,-,-,-,515.5,This shoe,1,689,EXP2
588938e3b08cc30001b77771,0,16,ss_rel,s,1,rel,467.1666666666667,The consultant who advised the firm,1,561,EXP2
588938e3b08cc30001b77771,0,64,filler,-,-,-,637.6666666666666,The rusty blades,1,626,EXP2
588938e3b08cc30001b77771,0,14,ps_rel,p,0,rel,666.8571428571429,The rebel soldiers who deserted the battle,1,720,EXP2
588938e3b08cc30001b77771,0,53,filler,-,-,-,702.6666666666666,The prickly thorns,1,578,EXP2
588938e3b08cc30001b77771,0,1,pp_prep,p,1,prep,557.0,The demo tapes from the popular rock singers,1,799,EXP2
588938e3b08cc30001b77771,0,42,filler,-,-,-,463.5,The farmers,1,488,EXP2
588938e3b08cc30001b77771,0,76,filler,-,-,-,606.0,The gooey filling,1,666,EXP2
588938e3b08cc30001b77771,0,31,sp_rel,s,0,rel,504.0,The Peace Corps volunteer who assisted the villages,1,1215,EXP2
588938e3b08cc30001b77771,0,66,filler,-,-,-,496.0,The jackets,1,583,EXP2
588938e3b08cc30001b77771,0,26,ps_prep,p,0,prep,649.0,The applicants for the corporate scholarship,1,671,EXP2
588938e3b08cc30001b77771,0,36,filler,-,-,-,540.3333333333334,The slimy frog,1,624,EXP2
588938e3b08cc30001b77771,0,35,filler,-,-,-,569.5,The fire,1,735,EXP2
588938e3b08cc30001b77771,0,13,pp_rel,p,1,rel,525.0,The offices that belonged to the accountants,1,710,EXP2
588938e3b08cc30001b77771,0,57,filler,-,-,-,602.6666666666666,The wobbly leg,1,748,EXP2
588938e3b08cc30001b77771,0,27,sp_prep,s,0,prep,654.0,The editor of the history books,0,598,EXP2
588938e3b08cc30001b77771,0,87,filler,-,-,-,491.0,Each fork,1,510,EXP2
588938e3b08cc30001b77771,0,63,filler,-,-,-,576.6666666666666,The cracked knob,1,613,EXP2
588938e3b08cc30001b77771,0,24,ss_rel,s,1,rel,528.1666666666666,The speaker who addressed the meeting,1,603,EXP2
588938e3b08cc30001b77771,0,34,filler,-,-,-,505.5,The dog,1,694,EXP2
588938e3b08cc30001b77771,0,17,pp_prep,p,1,prep,537.2857142857143,The teaching assistants for the physics labs,1,517,EXP2
588938e3b08cc30001b77771,0,48,filler,-,-,-,532.0,Some terminal diseases,1,734,EXP2
588938e3b08cc30001b77771,0,12,ss_prep,s,1,prep,546.2857142857143,The traffic jam on the Okemos street,1,842,EXP2
588938e3b08cc30001b77771,0,69,filler,-,-,-,516.3333333333334,The tight fingers,1,714,EXP2
588938e3b08cc30001b77771,0,50,filler,-,-,-,483.5,The President,1,900,EXP2
588938e3b08cc30001b77771,0,29,pp_rel,p,1,rel,536.5,The demonstrators that interrupted the rallies,1,667,EXP2
588938e3b08cc30001b77771,0,51,filler,-,-,-,559.0,The Prime Minister,1,654,EXP2
588938e3b08cc30001b77771,0,15,sp_rel,s,0,rel,494.5,The actor who directed the films,1,851,EXP2
588938e3b08cc30001b77771,0,75,filler,-,-,-,576.0,A train,1,582,EXP2
588938e3b08cc30001b77771,0,77,filler,-,-,-,542.0,An oven,1,1059,EXP2
588938e3b08cc30001b77771,0,18,ps_prep,p,0,prep,458.0,The couriers with the diplomat's message,0,1179,EXP2
588938e3b08cc30001b77771,0,58,filler,-,-,-,599.6666666666666,Some iron railings,1,725,EXP2
588938e3b08cc30001b77771,0,30,ps_rel,p,0,rel,470.0,The students who had failed the class,1,608,EXP2
588938e3b08cc30001b77771,0,60,filler,-,-,-,541.0,A purse,1,691,EXP2
588938e3b08cc30001b77771,0,56,filler,-,-,-,591.0,The laptop,1,804,EXP2
588938e3b08cc30001b77771,0,11,sp_prep,s,0,prep,484.125,The neutral zone around the Arcturian solar systems,1,761,EXP2
588938e3b08cc30001b77771,0,78,filler,-,-,-,476.0,Some loud speakers,1,857,EXP2
588938e3b08cc30001b77771,0,2,ps_prep,p,0,prep,470.85714285714283,The pamphlets from the British government agency,1,861,EXP2
588938e3b08cc30001b77771,0,85,filler,-,-,-,572.5,This chain,1,582,EXP2
588938e3b08cc30001b77771,0,32,ss_rel,s,1,rel,564.6666666666666,The ruler who enslaved the city-state,1,752,EXP2
588938e3b08cc30001b77771,0,33,filler,-,-,-,529.3333333333334,The unhappy man,1,632,EXP2
588938e3b08cc30001b77771,0,55,filler,-,-,-,449.5,Some chairs,1,481,EXP2
588938e3b08cc30001b77771,0,25,pp_prep,p,1,prep,511.42857142857144,The directors of the forthcoming motion pictures,1,817,EXP2
588938e3b08cc30001b77771,0,41,filler,-,-,-,492.3333333333333,A helpless lamb,1,582,EXP2
588938e3b08cc30001b77771,0,72,filler,-,-,-,508.0,A staircase,1,712,EXP2
588938e3b08cc30001b77771,0,22,ps_rel,p,0,rel,577.8333333333334,The composers who rewrote the opera,1,484,EXP2
588938e3b08cc30001b77771,0,88,filler,-,-,-,528.5,Those shoes,1,605,EXP2
588938e3b08cc30001b77771,0,19,sp_prep,s,0,prep,503.1666666666667,The star of the Broadway musicals,0,1509,EXP2
588938e3b08cc30001b77771,0,86,filler,-,-,-,554.6666666666666,That dull razor,1,506,EXP2
588938e3b08cc30001b77771,0,46,filler,-,-,-,708.5,The policemen,1,729,EXP2
588938e3b08cc30001b77771,0,21,pp_rel,p,1,rel,515.8333333333334,The pictures that embarrassed the politicians,1,793,EXP2
588938e3b08cc30001b77771,0,37,filler,-,-,-,586.6666666666666,These hungry boys,1,544,EXP2
588938e3b08cc30001b77771,0,71,filler,-,-,-,663.5,Those plants,1,605,EXP2
588938e3b08cc30001b77771,0,20,ss_prep,s,1,prep,643.8333333333334,The corporation with the banking monopoly,1,798,EXP2
588938e3b08cc30001b77771,0,59,filler,-,-,-,741.0,These crooked prongs,1,567,EXP2
588938e3b08cc30001b77771,0,40,filler,-,-,-,790.0,Those unlucky firemen,0,608,EXP2
588938e3b08cc30001b77771,0,23,sp_rel,s,0,rel,614.4285714285714,The teacher who received the education certificates,1,1248,EXP2
588938e3b08cc30001b77771,0,52,filler,-,-,-,691.6666666666666,The lazy student,1,656,EXP2
588938e3b08cc30001b77771,0,80,filler,-,-,-,536.0,The roses,1,530,EXP2
59ff90807ecfc50001be057b,0,67,filler,-,-,-,264.0,This short skirt,1,1244,EXP2
