,experiment,item_id,condition,sentence,expected,prediction,error,model
54,bock_cutting_1992_exp1,4,rel_ps,the security forces that patrolled the manufacturing plant,VBP,VBP,False,0
55,bock_cutting_1992_exp1,4,rel_pp,the security forces that patrolled the manufacturing plants,VBP,VBP,False,0
56,bock_cutting_1992_exp1,4,relthat_ss,the security force that patrolled the manufacturing plant,VBZ,VBZ,False,0
57,bock_cutting_1992_exp1,4,relthat_sp,the security force that patrolled the manufacturing plants,VBZ,VBZ,False,0
58,bock_cutting_1992_exp1,4,relthat_ps,the security forces that patrolled the manufacturing plant,VBP,VBP,False,0
59,bock_cutting_1992_exp1,4,relthat_pp,the security forces that patrolled the manufacturing plants,VBP,VBP,False,0
60,bock_cutting_1992_exp1,5,prep_ss,the confession of the famous television preacher,VBZ,VBZ,False,0
61,bock_cutting_1992_exp1,5,prep_sp,the confession of the famous television preachers,VBZ,VBZ,False,0
62,bock_cutting_1992_exp1,5,prep_ps,the confessions of the famous television preacher,VBP,VBP,False,0
63,bock_cutting_1992_exp1,5,prep_pp,the confessions of the famous television preachers,VBP,VBP,False,0
64,bock_cutting_1992_exp1,5,rel_ss,the confession that involved the television preacher,VBZ,VBZ,False,0
65,bock_cutting_1992_exp1,5,rel_sp,the confession that involved the television preachers,VBZ,VBZ,False,0
66,bock_cutting_1992_exp1,5,rel_ps,the confessions that involved the television preacher,VBP,VBP,False,0
67,bock_cutting_1992_exp1,5,rel_pp,the confessions that involved the television preachers,VBP,VBP,False,0
68,bock_cutting_1992_exp1,5,relthat_ss,the confession that involved the television preacher,VBZ,VBZ,False,0
69,bock_cutting_1992_exp1,5,relthat_sp,the confession that involved the television preachers,VBZ,VBZ,False,0
70,bock_cutting_1992_exp1,5,relthat_ps,the confessions that involved the television preacher,VBP,VBP,False,0
71,bock_cutting_1992_exp1,5,relthat_pp,the confessions that involved the television preachers,VBP,VBP,False,0
72,bock_cutting_1992_exp1,6,prep_ss,the charismatic leader of the left - wing dissident group,VBZ,VBZ,False,0
73,bock_cutting_1992_exp1,6,prep_sp,the charismatic leader of the left - wing dissident groups,VBZ,VBP,True,0
74,bock_cutting_1992_exp1,6,prep_ps,the charismatic leaders of the left - wing dissident group,VBP,VBP,False,0
75,bock_cutting_1992_exp1,6,prep_pp,the charismatic leaders of the left - wing dissident groups,VBP,VBP,False,0
76,bock_cutting_1992_exp1,6,rel_ss,the charismatic leader who addressed the dissident group,VBZ,VBZ,False,0
77,bock_cutting_1992_exp1,6,rel_sp,the charismatic leader who addressed the dissident groups,VBZ,VBZ,False,0
78,bock_cutting_1992_exp1,6,rel_ps,the charismatic leaders who addressed the dissident group,VBP,VBP,False,0
79,bock_cutting_1992_exp1,6,rel_pp,the charismatic leaders who addressed the dissident groups,VBP,VBP,False,0
80,bock_cutting_1992_exp1,6,relthat_ss,the charismatic leader that addressed the dissident group,VBZ,VBZ,False,0
81,bock_cutting_1992_exp1,6,relthat_sp,the charismatic leader that addressed the dissident groups,VBZ,VBZ,False,0
82,bock_cutting_1992_exp1,6,relthat_ps,the charismatic leaders that addressed the dissident group,VBP,VBP,False,0
83,bock_cutting_1992_exp1,6,relthat_pp,the charismatic leaders that addressed the dissident groups,VBP,VBP,False,0
84,bock_cutting_1992_exp1,7,prep_ss,the advisor for the chemistry student,VBZ,VBZ,False,0
85,bock_cutting_1992_exp1,7,prep_sp,the advisor for the chemistry students,VBZ,VBZ,False,0
86,bock_cutting_1992_exp1,7,prep_ps,the advisors for the chemistry student,VBP,VBP,False,0
87,bock_cutting_1992_exp1,7,prep_pp,the advisors for the chemistry students,VBP,VBP,False,0
88,bock_cutting_1992_exp1,7,rel_ss,the advisor who directed the student,VBZ,VBZ,False,0
89,bock_cutting_1992_exp1,7,rel_sp,the advisor who directed the students,VBZ,VBZ,False,0
90,bock_cutting_1992_exp1,7,rel_ps,the advisors who directed the student,VBP,VBP,False,0
91,bock_cutting_1992_exp1,7,rel_pp,the advisors who directed the students,VBP,VBP,False,0
92,bock_cutting_1992_exp1,7,relthat_ss,the advisor that directed the student,VBZ,VBZ,False,0
93,bock_cutting_1992_exp1,7,relthat_sp,the advisor that directed the students,VBZ,VBP,True,0
94,bock_cutting_1992_exp1,7,relthat_ps,the advisors that directed the student,VBP,VBP,False,0
95,bock_cutting_1992_exp1,7,relthat_pp,the advisors that directed the students,VBP,VBP,False,0
96,bock_cutting_1992_exp1,8,prep_ss,the superintendent of the technical school,VBZ,VBZ,False,0
97,bock_cutting_1992_exp1,8,prep_sp,the superintendent of the technical schools,VBZ,VBZ,False,0
98,bock_cutting_1992_exp1,8,prep_ps,the superintendents of the technical school,VBP,VBZ,True,0
99,bock_cutting_1992_exp1,8,prep_pp,the superintendents of the technical schools,VBP,VBZ,True,0
100,bock_cutting_1992_exp1,8,rel_ss,the superintendent who inspected the school,VBZ,VBZ,False,0
101,bock_cutting_1992_exp1,8,rel_sp,the superintendent who inspected the schools,VBZ,VBP,True,0
102,bock_cutting_1992_exp1,8,rel_ps,the superintendents who inspected the school,VBP,VBZ,True,0
103,bock_cutting_1992_exp1,8,rel_pp,the superintendents who inspected the schools,VBP,VBP,False,0
104,bock_cutting_1992_exp1,8,relthat_ss,the superintendent that inspected the school,VBZ,VBZ,False,0
105,bock_cutting_1992_exp1,8,relthat_sp,the superintendent that inspected the schools,VBZ,VBP,True,0
106,bock_cutting_1992_exp1,8,relthat_ps,the superintendents that inspected the school,VBP,VBZ,True,0
107,bock_cutting_1992_exp1,8,relthat_pp,the superintendents that inspected the schools,VBP,VBP,False,0
108,bock_cutting_1992_exp1,9,prep_ss,the memo from the junior executive,VBZ,VBZ,False,0
109,bock_cutting_1992_exp1,9,prep_sp,the memo from the junior executives,VBZ,VBP,True,0
110,bock_cutting_1992_exp1,9,prep_ps,the memos from the junior executive,VBP,VBZ,True,0
111,bock_cutting_1992_exp1,9,prep_pp,the memos from the junior executives,VBP,VBP,False,0
112,bock_cutting_1992_exp1,9,rel_ss,the memo that concerned the executive,VBZ,VBZ,False,0
113,bock_cutting_1992_exp1,9,rel_sp,the memo that concerned the executives,VBZ,VBP,True,0
114,bock_cutting_1992_exp1,9,rel_ps,the memos that concerned the executive,VBP,VBZ,True,0
115,bock_cutting_1992_exp1,9,rel_pp,the memos that concerned the executives,VBP,VBP,False,0
116,bock_cutting_1992_exp1,9,relthat_ss,the memo that concerned the executive,VBZ,VBZ,False,0
117,bock_cutting_1992_exp1,9,relthat_sp,the memo that concerned the executives,VBZ,VBP,True,0
118,bock_cutting_1992_exp1,9,relthat_ps,the memos that concerned the executive,VBP,VBZ,True,0
119,bock_cutting_1992_exp1,9,relthat_pp,the memos that concerned the executives,VBP,VBP,False,0
120,bock_cutting_1992_exp1,10,prep_ss,the neutral zone around the NNP solar system,VBZ,VBZ,False,0
121,bock_cutting_1992_exp1,10,prep_sp,the neutral zone around the JJ solar systems,VBZ,VBZ,False,0
122,bock_cutting_1992_exp1,10,prep_ps,the neutral zones around the NNP solar system,VBP,VBP,False,0
123,bock_cutting_1992_exp1,10,prep_pp,the neutral zones around the JJ solar systems,VBP,VBP,False,0
124,bock_cutting_1992_exp1,10,rel_ss,the neutral zone that split the NNP solar system,VBZ,VBZ,False,0
125,bock_cutting_1992_exp1,10,rel_sp,the neutral zone that split the JJ solar systems,VBZ,VBP,True,0
126,bock_cutting_1992_exp1,10,rel_ps,the neutral zones that split the NNP solar system,VBP,VBP,False,0
127,bock_cutting_1992_exp1,10,rel_pp,the neutral zones that split the JJ solar systems,VBP,VBP,False,0
128,bock_cutting_1992_exp1,10,relthat_ss,the neutral zone that split the NNP solar system,VBZ,VBZ,False,0
129,bock_cutting_1992_exp1,10,relthat_sp,the neutral zone that split the JJ solar systems,VBZ,VBP,True,0
130,bock_cutting_1992_exp1,10,relthat_ps,the neutral zones that split the NNP solar system,VBP,VBP,False,0
131,bock_cutting_1992_exp1,10,relthat_pp,the neutral zones that split the JJ solar systems,VBP,VBP,False,0
132,bock_cutting_1992_exp1,11,prep_ss,the traffic jam on the NNP street,VBZ,VBZ,False,0
133,bock_cutting_1992_exp1,11,prep_sp,the traffic jam on the NNP streets,VBZ,VBZ,False,0
134,bock_cutting_1992_exp1,11,prep_ps,the traffic jams on the NNP street,VBP,VBP,False,0
135,bock_cutting_1992_exp1,11,prep_pp,the traffic jams on the NNP streets,VBP,VBP,False,0
136,bock_cutting_1992_exp1,11,rel_ss,the traffic jam that obstructed the street,VBZ,VBZ,False,0
137,bock_cutting_1992_exp1,11,rel_sp,the traffic jam that obstructed the streets,VBZ,VBZ,False,0
138,bock_cutting_1992_exp1,11,rel_ps,the traffic jams that obstructed the street,VBP,VBP,False,0
139,bock_cutting_1992_exp1,11,rel_pp,the traffic jams that obstructed the streets,VBP,VBP,False,0
140,bock_cutting_1992_exp1,11,relthat_ss,the traffic jam that obstructed the street,VBZ,VBZ,False,0
141,bock_cutting_1992_exp1,11,relthat_sp,the traffic jam that obstructed the streets,VBZ,VBZ,False,0
142,bock_cutting_1992_exp1,11,relthat_ps,the traffic jams that obstructed the street,VBP,VBP,False,0
143,bock_cutting_1992_exp1,11,relthat_pp,the traffic jams that obstructed the streets,VBP,VBP,False,0
144,bock_cutting_1992_exp1,12,prep_ss,the office of the certified accountant,VBZ,VBZ,False,0
145,bock_cutting_1992_exp1,12,prep_sp,the office of the certified accountants,VBZ,VBZ,False,0
146,bock_cutting_1992_exp1,12,prep_ps,the offices of the certified accountant,VBP,VBP,False,0
147,bock_cutting_1992_exp1,12,prep_pp,the offices of the certified accountants,VBP,VBP,False,0
148,bock_cutting_1992_exp1,12,rel_ss,the office that belonged to the accountant,VBZ,VBZ,False,0
149,bock_cutting_1992_exp1,12,rel_sp,the office that belonged to the accountants,VBZ,VBZ,False,0
150,bock_cutting_1992_exp1,12,rel_ps,the offices that belonged to the accountant,VBP,VBP,False,0
151,bock_cutting_1992_exp1,12,rel_pp,the offices that belonged to the accountants,VBP,VBP,False,0
152,bock_cutting_1992_exp1,12,relthat_ss,the office that belonged to the accountant,VBZ,VBZ,False,0
153,bock_cutting_1992_exp1,12,relthat_sp,the office that belonged to the accountants,VBZ,VBZ,False,0
154,bock_cutting_1992_exp1,12,relthat_ps,the offices that belonged to the accountant,VBP,VBP,False,0
155,bock_cutting_1992_exp1,12,relthat_pp,the offices that belonged to the accountants,VBP,VBP,False,0
156,bock_cutting_1992_exp1,13,prep_ss,the rebel soldier in the furious battle,VBZ,VBZ,False,0
157,bock_cutting_1992_exp1,13,prep_sp,the rebel soldier in the furious battles,VBZ,VBZ,False,0
158,bock_cutting_1992_exp1,13,prep_ps,the rebel soldiers in the furious battle,VBP,VBP,False,0
159,bock_cutting_1992_exp1,13,prep_pp,the rebel soldiers in the furious battles,VBP,VBP,False,0
160,bock_cutting_1992_exp1,13,rel_ss,the rebel soldier who deserted the battle,VBZ,VBZ,False,0
161,bock_cutting_1992_exp1,13,rel_sp,the rebel soldier who deserted the battles,VBZ,VBZ,False,0
162,bock_cutting_1992_exp1,13,rel_ps,the rebel soldiers who deserted the battle,VBP,VBP,False,0
163,bock_cutting_1992_exp1,13,rel_pp,the rebel soldiers who deserted the battles,VBP,VBP,False,0
164,bock_cutting_1992_exp1,13,relthat_ss,the rebel soldier that deserted the battle,VBZ,VBZ,False,0
165,bock_cutting_1992_exp1,13,relthat_sp,the rebel soldier that deserted the battles,VBZ,VBZ,False,0
166,bock_cutting_1992_exp1,13,relthat_ps,the rebel soldiers that deserted the battle,VBP,VBP,False,0
167,bock_cutting_1992_exp1,13,relthat_pp,the rebel soldiers that deserted the battles,VBP,VBP,False,0
168,bock_cutting_1992_exp1,14,prep_ss,the actor in the blockbuster film,VBZ,VBZ,False,0
169,bock_cutting_1992_exp1,14,prep_sp,the actor in the blockbuster films,VBZ,VBZ,False,0
170,bock_cutting_1992_exp1,14,prep_ps,the actors in the blockbuster film,VBP,VBP,False,0
171,bock_cutting_1992_exp1,14,prep_pp,the actors in the blockbuster films,VBP,VBP,False,0
172,bock_cutting_1992_exp1,14,rel_ss,the actor who directed the film,VBZ,VBZ,False,0
173,bock_cutting_1992_exp1,14,rel_sp,the actor who directed the films,VBZ,VBZ,False,0
174,bock_cutting_1992_exp1,14,rel_ps,the actors who directed the film,VBP,VBP,False,0
175,bock_cutting_1992_exp1,14,rel_pp,the actors who directed the films,VBP,VBP,False,0
176,bock_cutting_1992_exp1,14,relthat_ss,the actor that directed the film,VBZ,VBZ,False,0
177,bock_cutting_1992_exp1,14,relthat_sp,the actor that directed the films,VBZ,VBP,True,0
178,bock_cutting_1992_exp1,14,relthat_ps,the actors that directed the film,VBP,VBP,False,0
179,bock_cutting_1992_exp1,14,relthat_pp,the actors that directed the films,VBP,VBP,False,0
180,bock_cutting_1992_exp1,15,prep_ss,the consultant for the growing firm,VBZ,VBZ,False,0
181,bock_cutting_1992_exp1,15,prep_sp,the consultant for the growing firms,VBZ,VBZ,False,0
182,bock_cutting_1992_exp1,15,prep_ps,the consultants for the growing firm,VBP,VBP,False,0
183,bock_cutting_1992_exp1,15,prep_pp,the consultants for the growing firms,VBP,VBP,False,0
184,bock_cutting_1992_exp1,15,rel_ss,the consultant who advised the firm,VBZ,VBZ,False,0
185,bock_cutting_1992_exp1,15,rel_sp,the consultant who advised the firms,VBZ,VBZ,False,0
186,bock_cutting_1992_exp1,15,rel_ps,the consultants who advised the firm,VBP,VBP,False,0
187,bock_cutting_1992_exp1,15,rel_pp,the consultants who advised the firms,VBP,VBP,False,0
188,bock_cutting_1992_exp1,15,relthat_ss,the consultant that advised the firm,VBZ,VBZ,False,0
189,bock_cutting_1992_exp1,15,relthat_sp,the consultant that advised the firms,VBZ,VBZ,False,0
190,bock_cutting_1992_exp1,15,relthat_ps,the consultants that advised the firm,VBP,VBP,False,0
191,bock_cutting_1992_exp1,15,relthat_pp,the consultants that advised the firms,VBP,VBP,False,0
192,bock_cutting_1992_exp1,16,prep_ss,the teaching assistant for the physics lab,VBZ,VBZ,False,0
193,bock_cutting_1992_exp1,16,prep_sp,the teaching assistant for the physics labs,VBZ,VBZ,False,0
194,bock_cutting_1992_exp1,16,prep_ps,the teaching assistants for the physics lab,VBP,VBP,False,0
195,bock_cutting_1992_exp1,16,prep_pp,the teaching assistants for the physics labs,VBP,VBP,False,0
196,bock_cutting_1992_exp1,16,rel_ss,the teaching assistant who prepared the lab,VBZ,VBZ,False,0
197,bock_cutting_1992_exp1,16,rel_sp,the teaching assistant who prepared the labs,VBZ,VBZ,False,0
198,bock_cutting_1992_exp1,16,rel_ps,the teaching assistants who prepared the lab,VBP,VBP,False,0
199,bock_cutting_1992_exp1,16,rel_pp,the teaching assistants who prepared the labs,VBP,VBP,False,0
200,bock_cutting_1992_exp1,16,relthat_ss,the teaching assistant that prepared the lab,VBZ,VBZ,False,0
201,bock_cutting_1992_exp1,16,relthat_sp,the teaching assistant that prepared the labs,VBZ,VBP,True,0
202,bock_cutting_1992_exp1,16,relthat_ps,the teaching assistants that prepared the lab,VBP,VBP,False,0
203,bock_cutting_1992_exp1,16,relthat_pp,the teaching assistants that prepared the labs,VBP,VBP,False,0
204,bock_cutting_1992_exp1,17,prep_ss,the courier with the diplomat 's message,VBZ,VBZ,False,0
205,bock_cutting_1992_exp1,17,prep_sp,the courier with the diplomat 's messages,VBZ,VBZ,False,0
206,bock_cutting_1992_exp1,17,prep_ps,the NNS with the diplomat 's message,VBP,VBP,False,0
207,bock_cutting_1992_exp1,17,prep_pp,the NNS with the diplomat 's messages,VBP,VBP,False,0
208,bock_cutting_1992_exp1,17,rel_ss,the courier who delivered the message,VBZ,VBZ,False,0
209,bock_cutting_1992_exp1,17,rel_sp,the courier who delivered the messages,VBZ,VBP,True,0
210,bock_cutting_1992_exp1,17,rel_ps,the NNS who delivered the message,VBP,VBZ,True,0
211,bock_cutting_1992_exp1,17,rel_pp,the NNS who delivered the messages,VBP,VBP,False,0
212,bock_cutting_1992_exp1,17,relthat_ss,the courier that delivered the message,VBZ,VBZ,False,0
213,bock_cutting_1992_exp1,17,relthat_sp,the courier that delivered the messages,VBZ,VBP,True,0
214,bock_cutting_1992_exp1,17,relthat_ps,the NNS that delivered the message,VBP,VBZ,True,0
215,bock_cutting_1992_exp1,17,relthat_pp,the NNS that delivered the messages,VBP,VBP,False,0
216,bock_cutting_1992_exp1,18,prep_ss,the star of the broadway musical,VBZ,VBZ,False,0
217,bock_cutting_1992_exp1,18,prep_sp,the star of the broadway musicals,VBZ,VBZ,False,0
218,bock_cutting_1992_exp1,18,prep_ps,the stars of the broadway musical,VBP,VBP,False,0
219,bock_cutting_1992_exp1,18,prep_pp,the stars of the broadway musicals,VBP,VBP,False,0
220,bock_cutting_1992_exp1,18,rel_ss,the star who revived the musical,VBZ,VBZ,False,0
221,bock_cutting_1992_exp1,18,rel_sp,the star who revived the musicals,VBZ,VBZ,False,0
222,bock_cutting_1992_exp1,18,rel_ps,the stars who revived the musical,VBP,VBP,False,0
223,bock_cutting_1992_exp1,18,rel_pp,the stars who revived the musicals,VBP,VBP,False,0
224,bock_cutting_1992_exp1,18,relthat_ss,the star that revived the musical,VBZ,VBZ,False,0
225,bock_cutting_1992_exp1,18,relthat_sp,the star that revived the musicals,VBZ,VBP,True,0
226,bock_cutting_1992_exp1,18,relthat_ps,the stars that revived the musical,VBP,VBP,False,0
227,bock_cutting_1992_exp1,18,relthat_pp,the stars that revived the musicals,VBP,VBP,False,0
228,bock_cutting_1992_exp1,19,prep_ss,the corporation with the banking monopoly,VBZ,VBZ,False,0
229,bock_cutting_1992_exp1,19,prep_sp,the corporation with the banking monopolies,VBZ,VBZ,False,0
230,bock_cutting_1992_exp1,19,prep_ps,the corporations with the banking monopoly,VBP,VBP,False,0
231,bock_cutting_1992_exp1,19,prep_pp,the corporations with the banking monopolies,VBP,VBP,False,0
232,bock_cutting_1992_exp1,19,rel_ss,the corporation that dissolved the monopoly,VBZ,VBZ,False,0
233,bock_cutting_1992_exp1,19,rel_sp,the corporation that dissolved the monopolies,VBZ,VBP,True,0
234,bock_cutting_1992_exp1,19,rel_ps,the corporations that dissolved the monopoly,VBP,VBP,False,0
235,bock_cutting_1992_exp1,19,rel_pp,the corporations that dissolved the monopolies,VBP,VBP,False,0
236,bock_cutting_1992_exp1,19,relthat_ss,the corporation that dissolved the monopoly,VBZ,VBZ,False,0
237,bock_cutting_1992_exp1,19,relthat_sp,the corporation that dissolved the monopolies,VBZ,VBP,True,0
238,bock_cutting_1992_exp1,19,relthat_ps,the corporations that dissolved the monopoly,VBP,VBP,False,0
239,bock_cutting_1992_exp1,19,relthat_pp,the corporations that dissolved the monopolies,VBP,VBP,False,0
240,bock_cutting_1992_exp1,20,prep_ss,the picture of the prominent politician,VBZ,VBZ,False,0
241,bock_cutting_1992_exp1,20,prep_sp,the picture of the prominent politicians,VBZ,VBZ,False,0
242,bock_cutting_1992_exp1,20,prep_ps,the pictures of the prominent politician,VBP,VBP,False,0
243,bock_cutting_1992_exp1,20,prep_pp,the pictures of the prominent politicians,VBP,VBP,False,0
244,bock_cutting_1992_exp1,20,rel_ss,the picture that embarrassed the politician,VBZ,VBZ,False,0
245,bock_cutting_1992_exp1,20,rel_sp,the picture that embarrassed the politicians,VBZ,VBZ,False,0
246,bock_cutting_1992_exp1,20,rel_ps,the pictures that embarrassed the politician,VBP,VBP,False,0
247,bock_cutting_1992_exp1,20,rel_pp,the pictures that embarrassed the politicians,VBP,VBP,False,0
248,bock_cutting_1992_exp1,20,relthat_ss,the picture that embarrassed the politician,VBZ,VBZ,False,0
249,bock_cutting_1992_exp1,20,relthat_sp,the picture that embarrassed the politicians,VBZ,VBZ,False,0
250,bock_cutting_1992_exp1,20,relthat_ps,the pictures that embarrassed the politician,VBP,VBP,False,0
251,bock_cutting_1992_exp1,20,relthat_pp,the pictures that embarrassed the politicians,VBP,VBP,False,0
252,bock_cutting_1992_exp1,21,prep_ss,the composer of the modern opera,VBZ,VBZ,False,0
253,bock_cutting_1992_exp1,21,prep_sp,the composer of the modern operas,VBZ,VBZ,False,0
254,bock_cutting_1992_exp1,21,prep_ps,the composers of the modern opera,VBP,VBP,False,0
255,bock_cutting_1992_exp1,21,prep_pp,the composers of the modern operas,VBP,VBP,False,0
256,bock_cutting_1992_exp1,21,rel_ss,the composer who rewrote the opera,VBZ,VBZ,False,0
257,bock_cutting_1992_exp1,21,rel_sp,the composer who rewrote the operas,VBZ,VBZ,False,0
258,bock_cutting_1992_exp1,21,rel_ps,the composers who rewrote the opera,VBP,VBP,False,0
259,bock_cutting_1992_exp1,21,rel_pp,the composers who rewrote the operas,VBP,VBP,False,0
260,bock_cutting_1992_exp1,21,relthat_ss,the composer that rewrote the opera,VBZ,VBZ,False,0
261,bock_cutting_1992_exp1,21,relthat_sp,the composer that rewrote the operas,VBZ,VBZ,False,0
262,bock_cutting_1992_exp1,21,relthat_ps,the composers that rewrote the opera,VBP,VBP,False,0
263,bock_cutting_1992_exp1,21,relthat_pp,the composers that rewrote the operas,VBP,VBP,False,0
264,bock_cutting_1992_exp1,22,prep_ss,the teacher with the special education certificate,VBZ,VBZ,False,0
265,bock_cutting_1992_exp1,22,prep_sp,the teacher with the special education certificates,VBZ,VBZ,False,0
266,bock_cutting_1992_exp1,22,prep_ps,the teachers with the special education certificate,VBP,VBP,False,0
267,bock_cutting_1992_exp1,22,prep_pp,the teachers with the special education certificates,VBP,VBP,False,0
268,bock_cutting_1992_exp1,22,rel_ss,the teacher who received the education certificate,VBZ,VBZ,False,0
269,bock_cutting_1992_exp1,22,rel_sp,the teacher who received the education certificates,VBZ,VBZ,False,0
270,bock_cutting_1992_exp1,22,rel_ps,the teachers who received the education certificate,VBP,VBP,False,0
271,bock_cutting_1992_exp1,22,rel_pp,the teachers who received the education certificates,VBP,VBP,False,0
272,bock_cutting_1992_exp1,22,relthat_ss,the teacher that received the education certificate,VBZ,VBZ,False,0
273,bock_cutting_1992_exp1,22,relthat_sp,the teacher that received the education certificates,VBZ,VBZ,False,0
274,bock_cutting_1992_exp1,22,relthat_ps,the teachers that received the education certificate,VBP,VBP,False,0
